t,q1,q2,q3,qd1,qd2,qd3,tau1,tau2,tau3,tip_x,tip_y,tip_z
0.10200000000000001,-0.006423520589994956,0.02930637676737114,-0.06711256156401718,-0.13281787809374151,0.5658349131024742,-1.2257814664798796,-0.5529900599450458,1.5586504932204672,-3.749647027030919,0.019339490506878984,0.0,0.5011317967802176
0.10400000000000001,-0.006695341216792318,0.030460072833638722,-0.06960394931563399,-0.13591031339868123,0.5768480331337906,-1.245693875808401,-0.5600903276242463,1.5871591421760387,-3.7028994079698,0.020044897982669813,0.0,0.5012190948150888
0.106,-0.0069733628257806594,0.0316357091560421,-0.07213470774630373,-0.13901080449417055,0.5878181612016896,-1.2653792153348717,-0.5674088744531548,1.6153519809898942,-3.6555482142972293,0.020760205311926884,0.0,0.5013111276775496
0.108,-0.007257600144642128,0.0328331946293324,-0.07470437382427565,-0.14211865943073396,0.5987427366451497,-1.284833038985957,-0.5749462041747766,1.6432274105610962,-3.607602995745519,0.02148523131287822,0.0,0.501408037706859
0.11,-0.007548066519680169,0.03405243305816494,-0.07731247572529115,-0.14523318751902045,0.6096192144162685,-1.3040509505077502,-0.5827027986235557,1.6707838953235161,-3.5590734193377305,0.022219792779274633,0.0,0.5015099669322245
0.112,-0.007844773918768897,0.035293323189942286,-0.07995853293487558,-0.14835369954436464,0.6204450658886733,-1.3230286047922146,-0.5906791174877318,1.6980199629827872,-3.509969267084778,0.02296370451630564,0.0,0.5016170569213049
0.114,-0.008147732934737202,0.03655575874928667,-0.08264205635329064,-0.15147950798415247,0.6312177796721915,-1.34176170920753,-0.5988755980698034,1.72493420422776,-3.460300433637142,0.023716779377557576,0.0,0.501729448628135
0.116,-0.008456952789192944,0.03783962847415295,-0.08536254840315305,-0.1546099272278707,0.6419348624331417,-1.3602460249312032,-0.6072926550451814,1.7515252724167867,-3.410076923892147,0.024478828303020523,0.0,0.5018472822406573
0.11800000000000001,-0.008772441336792359,0.03914481615359208,-0.08811950313972255,-0.1577442737997071,0.6525938397195661,-1.3784773682847562,-0.6159306802190572,1.777791883239113,-3.3593088505577398,0.025249660358148057,0.0,0.5019706970279866
0.12,-0.009094205069959473,0.04047120066717347,-0.09091240636386007,-0.16088186658355738,0.6631922567906942,-1.3964516120687538,-0.6247900422816112,1.8037328143517684,-3.3080064316738587,0.026029082773972402,0.0,0.5020998311875705
0.122,-0.00942224912406004,0.04181865602607325,-0.09374073573765385,-0.16402202705028365,0.6737276794498908,-1.4141646868968876,-0.6338710865615652,1.8293469049923434,-3.2561799880924305,0.026816900988276212,0.0,0.5022348216923898
0.124,-0.009756577283034156,0.04318705141583387,-0.09660396090270942,-0.167164079487058,0.6841976948803121,-1.4316125825277877,-0.6431741347782632,1.8546330555680877,-3.20383994091723,0.027612918687819937,0.0,0.5023758041383595
0.126,-0.010097191985491383,0.044576251240798795,-0.09950154360109581,-0.17030735122861385,0.6945999124824609,-1.448791349193195,-0.6526994847923138,1.8795902272218217,-3.1509968089047486,0.028416937851622352,0.0,0.502522912592077
0.128,-0.010444094331271818,0.0459861151702244,-0.10243293779893797,-0.17345117289021725,0.7049319647128008,-1.4656970989210825,-0.6624474103549238,1.9042174413751836,-3.097661205827455,0.02922875879528985,0.0,0.5026762794390758
0.13,-0.010797284088476137,0.04741649818606953,-0.10539758981264254,-0.17659487860215964,0.7151915079225644,-1.4823260068522808,-0.6724181608561075,1.9285137792497382,-3.043843837800685,0.030048180216387912,0.0,0.5028360352327447
0.132,-0.011156759700967264,0.04886725063246125,-0.10839493843774078,-0.17973780624556332,0.7253762231958591,-1.4986743125491273,-0.6826119610718117,1.9524783813665976,-2.989555500574679,0.03087499924084756,0.0,0.5030023085440483
0.134,-0.011522518296345827,0.05033821826683356,-0.11142441508033005,-0.18287929768928166,0.7354838171861537,-1.5147383212946286,-0.6930290109101812,1.976110447025141,-2.9348070767931143,0.031709011470395745,0.0,0.5031752258122425
0.136,-0.01189455569440116,0.05182924231273396,-0.11448544389109123,-0.18601869902766568,0.7455120229501996,-1.530514405380596,-0.7036694851571086,1.999409233761529,-2.8796095332197393,0.032550011030998284,0.0,0.5033549111967003
0.138,-0.01227286641603908,0.05334015951429081,-0.11757744190185762,-0.18915536081896048,0.755458600778425,-1.54599900538319,-0.7145335332212026,2.022374056787717,-2.8239739179346066,0.03339779062230196,0.0,0.5035414864300214
0.14,-0.012657443692687252,0.054870802192332445,-0.1206998191647062,-0.19228863832408563,0.7653213390208167,-1.5611886314242904,-0.7256212788784115,2.045004288411686,-2.7679113575015775,0.03425214156805926,0.0,0.503735070672595
0.14200000000000002,-0.013048279476178344,0.056420998302147016,-0.12385197889354038,-0.19541789174554589,0.7750980549072864,-1.5760798644170846,-0.7369328200164442,2.0672993574397016,-2.7114330541086957,0.035112853867518626,0.0,0.5039357803687418
0.14400000000000002,-0.013445364449110766,0.05799057149287003,-0.12703331760812892,-0.1985424864662109,0.7847865953615067,-1.5906693572942607,-0.7484682283792149,2.089258748561373,-2.6545502826832026,0.03597971624776096,0.0,0.5041437291046095
0.146,-0.013848688035686155,0.059579341168484394,-0.13024322528056326,-0.20166179328769507,0.7943848378071828,-1.604953836217175,-0.7602275493115211,2.1108820017183727,-2.5972743879828935,0.03685251621696011,0.0,0.5043590274679731
0.148,-0.01425823841302228,0.061187122550415834,-0.13348108548409196,-0.2047751886680627,0.8038906909657212,-1.618930101764358,-0.7722108015041755,2.1321687114576546,-2.539616781665632,0.037731040118544786,0.0,0.5045817829100804
0.15,-0.014674002522939435,0.06281372674170432,-0.13674627554428742,-0.20788205495857703,0.8133020956442432,-1.6325950300977243,-0.7844179767398012,2.153118526270096,-2.481588939338823,0.03861507318623628,0.0,0.5048120996097021
0.152,-0.015095966084217849,0.0644589607927301,-0.1400381666924971,-0.21098178063920672,0.8226170255128873,-1.6459455741048457,-0.7968490396395631,2.173731147915441,-2.4232023975907357,0.03950439959993518,0.0,0.505050078339538
